list-none-none,1,10,1,30,160937,5364
list-none-none,1,100,1,300,203601,678
list-none-none,1,1000,1,3000,8190113,2730
list-none-none,1,10000,1,30000,811818071,27060
list-none-none,1,20000,1,60000,4155327746,69255
list-none-none,2,1,1,6,242800,40466
list-none-none,2,10,1,60,173975,2899
list-none-none,2,100,1,600,431735,719
list-none-none,2,1000,1,6000,31856802,5309
list-none-none,4,1,1,12,258536,21544
list-none-none,8,1,1,24,377849,15743
list-none-none,8,10,1,240,356795,1486
list-none-none,12,1,1,36,1634926,45414
list-none-none,12,10,1,360,551733,1532
list-i-none,2,2,1,12,154891,12907
list-i-none,2,4,1,24,142753,5948
list-i-none,2,8,1,48,157139,3273
list-d-none,2,1,1,6,153275,25545
list-d-none,2,2,1,12,120163,10013
list-d-none,2,4,1,24,205530,8563
list-d-none,2,8,1,48,157295,3276
list-d-none,2,16,1,96,216386,2254
list-d-none,2,32,1,192,1379506,7184
list-il-none,2,1,1,6,147931,24655
list-il-none,2,2,1,12,153528,12794
list-il-none,2,4,1,24,125639,5234
list-il-none,2,8,1,48,215523,4490
list-il-none,2,32,1,192,275514,1434
list-dl-none,2,1,1,6,111454,18575
list-dl-none,2,2,1,12,123469,10289
list-dl-none,2,4,1,24,160912,6704
list-dl-none,2,8,1,48,168416,3508
list-dl-none,2,16,1,96,157941,1645
list-dl-none,2,32,1,192,269879,1405
list-i-none,4,1,1,12,265541,22128
list-i-none,4,2,1,24,249926,10413
list-i-none,4,4,1,48,241219,5025
list-d-none,4,1,1,12,226998,18916
list-d-none,4,2,1,24,238479,9936
list-d-none,4,4,1,48,202677,4222
list-d-none,4,8,1,96,225684,2350
list-d-none,4,16,1,192,267055,1390
list-il-none,4,1,1,12,266282,22190
list-il-none,4,2,1,24,224900,9370
list-il-none,4,4,1,48,235466,4905
list-dl-none,4,1,1,12,217529,18127
list-dl-none,4,2,1,24,201648,8402
list-dl-none,4,4,1,48,245740,5119
list-dl-none,4,16,1,192,253219,1318
list-dl-none,4,32,1,384,336007,875
list-i-none,8,2,1,48,336519,7010
list-d-none,8,1,1,24,421911,17579
list-d-none,8,2,1,48,395189,8233
list-d-none,8,4,1,96,342218,3564
list-d-none,8,8,1,192,384400,2002
list-dl-none,8,2,1,48,338799,7058
list-dl-none,8,8,1,192,514757,2681
list-dl-none,8,16,1,384,384320,1000
list-i-none,12,1,1,36,526853,14634
list-d-none,12,1,1,36,1674539,46514
list-d-none,12,2,1,72,568077,7889
list-d-none,12,4,1,144,515904,3582
list-il-none,12,1,1,36,474850,13190
list-dl-none,12,1,1,36,562009,15611
list-dl-none,12,4,1,144,540386,3752
list-i-m,12,32,1,1152,949580,824
list-d-m,12,32,1,1152,959086,832
list-il-m,12,32,1,1152,1286179,1116
list-dl-m,12,32,1,1152,1307959,1135
list-i-s,12,32,1,1152,1103541,957
list-d-s,12,32,1,1152,964340,837
list-il-s,12,32,1,1152,1629706,1414
list-dl-s,12,32,1,1152,1437824,1248
list-none-none,1,1000,1,3000,8122124,2707
list-none-m,1,1000,1,3000,8151624,2717
list-none-m,2,1000,1,6000,15640890,2606
list-none-m,4,1000,1,12000,31527255,2627
list-none-m,8,1000,1,24000,61074705,2544
list-none-m,12,1000,1,36000,93893669,2608
list-none-m,16,1000,1,48000,121062347,2522
list-none-m,24,1000,1,72000,191784921,2663
list-none-s,1,1000,1,3000,8076027,2692
list-none-s,2,1000,1,6000,16565781,2760
list-none-s,4,1000,1,12000,21706272,1808
list-none-s,8,1000,1,24000,43914374,1829
list-none-s,12,1000,1,36000,72641892,2017
list-none-s,16,1000,1,48000,98327826,2048
list-none-s,24,1000,1,72000,155950199,2165
list-none-none,1,10,1,30,102303,3410
list-none-none,1,100,1,300,234738,782
list-none-none,1,1000,1,3000,8409846,2803
list-none-none,1,10000,1,30000,807414360,26913
list-none-none,1,20000,1,60000,4167469198,69457
list-none-none,2,1,1,6,171918,28653
list-none-none,2,10,1,60,154482,2574
list-none-none,2,100,1,600,412120,686
list-none-none,2,1000,1,6000,32034452,5339
list-none-none,4,1,1,12,233978,19498
list-none-none,4,10,1,120,196799,1639
list-none-none,8,1,1,24,367577,15315
list-none-none,12,1,1,36,506619,14072
list-i-none,2,1,1,6,165492,27582
list-i-none,2,2,1,12,173976,14498
list-i-none,2,8,1,48,167054,3480
list-d-none,2,1,1,6,186799,31133
list-d-none,2,2,1,12,161061,13421
list-d-none,2,4,1,24,152116,6338
list-d-none,2,8,1,48,169595,3533
list-d-none,2,16,1,96,176946,1843
list-d-none,2,32,1,192,207413,1080
list-il-none,2,1,1,6,150740,25123
list-il-none,2,2,1,12,148584,12382
list-il-none,2,8,1,48,183067,3813
list-dl-none,2,1,1,6,125869,20978
list-dl-none,2,2,1,12,166156,13846
list-dl-none,2,4,1,24,168895,7037
list-dl-none,2,32,1,192,265258,1381
list-d-none,4,2,1,24,199518,8313
list-d-none,4,4,1,48,291652,6076
list-il-none,4,2,1,24,203932,8497
list-il-none,4,16,1,192,236435,1231
list-dl-none,4,4,1,48,214454,4467
list-i-none,8,1,1,24,673856,28077
list-d-none,8,1,1,24,311648,12985
list-d-none,8,4,1,96,344248,3585
list-d-none,8,16,1,384,357112,929
list-dl-none,8,1,1,24,382106,15921
list-dl-none,8,2,1,48,343429,7154
list-dl-none,8,4,1,96,321478,3348
list-i-none,12,1,1,36,476420,13233
list-d-none,12,1,1,36,678044,18834
list-il-none,12,1,1,36,533314,14814
list-il-none,12,4,1,144,650323,4516
list-dl-none,12,1,1,36,542531,15070
list-dl-none,12,4,1,144,580267,4029
list-i-m,12,32,1,1152,1025257,889
list-d-m,12,32,1,1152,978842,849
list-il-m,12,32,1,1152,1406486,1220
list-dl-m,12,32,1,1152,1301467,1129
list-i-s,12,32,1,1152,1130312,981
list-d-s,12,32,1,1152,1042636,905
list-il-s,12,32,1,1152,1899651,1649
list-dl-s,12,32,1,1152,1634368,1418
list-none-none,1,1000,1,3000,8066820,2688
list-none-m,1,1000,1,3000,8048626,2682
list-none-m,2,1000,1,6000,15716694,2619
list-none-m,4,1000,1,12000,28718220,2393
list-none-m,8,1000,1,24000,61307490,2554
list-none-m,12,1000,1,36000,90162164,2504
list-none-m,16,1000,1,48000,124173608,2586
list-none-m,24,1000,1,72000,193616008,2689
list-none-s,1,1000,1,3000,8076173,2692
list-none-s,2,1000,1,6000,12957202,2159
list-none-s,4,1000,1,12000,21137362,1761
list-none-s,8,1000,1,24000,43283371,1803
list-none-s,12,1000,1,36000,67805802,1883
list-none-s,16,1000,1,48000,99891246,2081
list-none-s,24,1000,1,72000,166232595,2308
